DATE-YMD,CHLA= NASA-combo satellite Chlorophyll (mg/m3),
1998-01-15,       3.110,
1998-02-15,       2.231,
1998-03-15,       2.890,
1998-04-15,       2.567,
1998-05-15,       4.010,
1998-06-15,       2.164,
1998-07-15,       1.654,
1998-08-15,       1.648,
1998-09-15,       1.926,
1998-10-15,       2.440,
1998-11-15,       2.536,
1999-01-15,       2.661,
1999-02-15,       2.170,
1999-03-15,       2.079,
1999-04-15,       2.493,
1999-05-15,       1.968,
1999-06-15,       1.725,
1999-07-15,       1.326,
1999-08-15,       1.330,
1999-09-15,       1.304,
1999-10-15,       2.097,
1999-11-15,       1.863,
2000-01-15,       2.434,
2000-02-15,       2.893,
2000-03-15,       2.535,
2000-04-15,       2.633,
2000-05-15,       4.010,
2000-06-15,       2.510,
2000-07-15,       1.434,
2000-08-15,       1.573,
2000-09-15,       1.717,
2000-10-15,       2.467,
2000-11-15,       2.904,
2001-01-15,       2.855,
2001-02-15,       3.114,
2001-03-15,       2.929,
2001-04-15,       2.455,
2001-05-15,       6.277,
2001-06-15,       2.421,
2001-07-15,       1.845,
2001-08-15,       1.950,
2001-09-15,       1.898,
2001-10-15,       2.400,
2001-11-15,       2.487,
2002-02-15,       3.252,
2002-03-15,       3.102,
2002-04-15,       2.846,
2002-05-15,       2.886,
2002-06-15,       1.884,
2002-07-15,       1.474,
2002-08-15,       1.719,
2002-09-15,       1.969,
2002-10-15,       1.771,
2002-11-15,       2.752,
2003-01-15,       2.252,
2003-02-15,       2.542,
2003-03-15,       2.981,
2003-04-15,       5.608,
2003-05-15,       9.177,
2003-06-15,       2.334,
2003-07-15,       1.833,
2003-08-15,       1.807,
2003-09-15,       1.875,
2003-10-15,       2.333,
2003-11-15,       2.362,
2004-01-15,       2.723,
2004-02-15,       3.038,
2004-03-15,       2.318,
2004-04-15,       2.907,
2004-05-15,       4.247,
2004-06-15,       2.404,
2004-07-15,       1.977,
2004-08-15,       1.697,
2004-09-15,       2.053,
2004-10-15,       2.343,
2004-11-15,       1.644,
2005-01-15,       1.935,
2005-02-15,       2.775,
2005-03-15,       2.349,
2005-04-15,       2.549,
2005-05-15,      12.094,
2005-06-15,       1.620,
2005-07-15,       1.184,
2005-08-15,       1.235,
2005-09-15,       1.305,
2005-10-15,       1.853,
2005-11-15,       2.493,
2006-01-15,       2.523,
2006-02-15,       2.871,
2006-03-15,       3.358,
2006-04-15,       3.187,
2006-05-15,       3.198,
2006-06-15,       1.601,
2006-07-15,       1.417,
